,Variable,Units,Description
733,MM,umolCO2 m-2 s-1,SQRT(NEE_VUT_USTAR50_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY – NEE_VUT_16_DAY) / 2)^2) for each month
734,YY,umolCO2 m-2 s-1,SQRT(NEE_VUT_USTAR50_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY – NEE_VUT_16_DAY) / 2)^2) for each year
735,NEE_CUT_XX_NIGHT,,"NEE CUT nighttime percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions — XX = 05, 16, 25, 50, 75, 84, 95"
736,HH,,not produced
737,DD,umolCO2 m-2 s-1,XXth nighttime percentile from 40 daily NEE_CUT_XX_NIGHT
738,WW,umolCO2 m-2 s-1,XXth nighttime percentile from 40 weekly NEE_CUT_XX_NIGHT
739,MM,umolCO2 m-2 s-1,XXth nighttime percentile from 40 monthly NEE_CUT_XX_NIGHT
740,YY,umolCO2 m-2 s-1,XXth nighttime percentile from 40 yearly NEE_CUT_XX_NIGHT
741,NEE_VUT_XX_NIGHT,,"NEE VUT nighttime percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions — XX = 05, 16, 25, 50, 75, 84, 95"
742,HH,,not produced
743,DD,umolCO2 m-2 s-1,XXth nighttime percentile from 40 daily NEE_VUT_XX_NIGHT
744,WW,umolCO2 m-2 s-1,XXth nighttime percentile from 40 weekly NEE_VUT_XX_NIGHT
745,MM,umolCO2 m-2 s-1,XXth nighttime percentile from 40 monthly NEE_VUT_XX_NIGHT
746,YY,umolCO2 m-2 s-1,XXth nighttime percentile from 40 yearly NEE_VUT_XX_NIGHT
747,NEE_CUT_XX_NIGHT_QC,,"Quality flag for NEE_CUT_XX_NIGHT — XX = 05, 16, 25, 50, 75, 84, 95"
748,HH,,not produced
749,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
750,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
751,NEE_VUT_XX_NIGHT_QC,,"Quality flag for NEE_VUT_XX_NIGHT — XX = 05, 16, 25, 50, 75, 84, 95"
752,HH,,not produced
753,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
754,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
755,NEE_CUT_XX_DAY,,"NEE CUT daytime percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions — XX = 05, 16, 25, 50, 75, 84, 95"
756,HH,,not produced
757,DD,umolCO2 m-2 s-1,XXth daytime percentile from 40 daily NEE_CUT_XX_DAY
758,WW,umolCO2 m-2 s-1,XXth daytime percentile from 40 weekly NEE_CUT_XX_DAY
759,MM,umolCO2 m-2 s-1,XXth daytime percentile from 40 monthly NEE_CUT_XX_DAY
760,YY,umolCO2 m-2 s-1,XXth daytime percentile from 40 yearly NEE_CUT_XX_DAY
761,NEE_VUT_XX_DAY,,"NEE VUT daytime percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions — XX = 05, 16, 25, 50, 75, 84, 95"
762,HH,,not produced
763,DD,umolCO2 m-2 s-1,XXth daytime percentile from 40 daily NEE_VUT_XX_DAY
764,WW,umolCO2 m-2 s-1,XXth daytime percentile from 40 weekly NEE_VUT_XX_DAY
765,MM,umolCO2 m-2 s-1,XXth daytime percentile from 40 monthly NEE_VUT_XX_DAY
766,YY,umolCO2 m-2 s-1,XXth daytime percentile from 40 yearly NEE_VUT_XX_DAY
767,NEE_CUT_XX_DAY_QC,,"Quality flag for NEE_CUT_XX_DAY — XX = 05, 16, 25, 50, 75, 84, 95"
768,HH,,not produced
769,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
770,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
771,NEE_VUT_XX_DAY_QC,,"Quality flag for NEE_VUT_XX_DAY — XX = 05, 16, 25, 50, 75, 84, 95"
772,HH,,not produced
773,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
774,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
775,,,
776,PARTITIONING,,
777,NIGHTTIME,,
778,RECO_NT_VUT_REF,,"Ecosystem Respiration, from Nighttime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
779,HH,umolCO2 m-2 s-1,
780,DD,gC m-2 d-1,calculated from half-hourly data
781,WW-MM,gC m-2 d-1,average from daily data
782,YY,gC m-2 y-1,sum from daily data
783,RECO_NT_VUT_USTAR50,,"Ecosystem Respiration, from Nighttime partitioning method, based on NEE_VUT_USTAR50"
784,HH,umolCO2 m-2 s-1,
785,DD,gC m-2 d-1,calculated from half-hourly data
786,WW-MM,gC m-2 d-1,average from daily data
787,YY,gC m-2 y-1,sum from daily data
788,RECO_NT_VUT_MEAN,,"Ecosystem Respiration, from Nighttime partitioning method, average from RECO versions, each from corresponding NEE_VUT_XX version"
789,HH,umolCO2 m-2 s-1,average from 40 half-hourly RECO_NT_VUT_XX
790,DD,gC m-2 d-1,average from 40 daily RECO_NT_VUT_XX
791,WW,gC m-2 d-1,average from 40 weekly RECO_NT_VUT_XX
792,MM,gC m-2 d-1,average from 40 monthly RECO_NT_VUT_XX
793,YY,gC m-2 y-1,average from 40 yearly RECO_NT_VUT_XX
794,RECO_NT_VUT_SE,,"Standard Error for Ecosystem Respiration, calculated as (SD(RECO_NT_VUT_XX) / SQRT(40))"
795,HH,umolCO2 m-2 s-1,SE from 40 half-hourly RECO_NT_CUT_XX
796,DD,gC m-2 d-1,SE from 40 daily RECO_NT_VUT_XX
797,WW,gC m-2 d-1,SE from 40 weekly RECO_NT_VUT_XX
798,MM,gC m-2 d-1,SE from 40 monthly RECO_NT_VUT_XX
799,YY,gC m-2 y-1,SE from 40 yearly RECO_NT_VUT_XX
800,RECO_NT_VUT_XX,,"Ecosystem Respiration, from Nighttime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
801,HH,umolCO2 m-2 s-1,
802,DD,gC m-2 d-1,calculated from half-hourly data
803,WW-MM,gC m-2 d-1,average from daily data
804,YY,gC m-2 y-1,sum from daily data
805,RECO_NT_CUT_REF,,"Ecosystem Respiration, from Nighttime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
806,HH,umolCO2 m-2 s-1,
807,DD,gC m-2 d-1,calculated from half-hourly data
808,WW-MM,gC m-2 d-1,average from daily data
809,YY,gC m-2 y-1,sum from daily data
810,RECO_NT_CUT_USTAR50,,"Ecosystem Respiration, from Nighttime partitioning method, based on NEE_CUT_USTAR50"
811,HH,umolCO2 m-2 s-1,
812,DD,gC m-2 d-1,calculated from half-hourly data
813,WW-MM,gC m-2 d-1,average from daily data
814,YY,gC m-2 y-1,sum from daily data
815,RECO_NT_CUT_MEAN,,"Ecosystem Respiration, from Nighttime partitioning method, average from RECO versions, each from corresponding NEE_CUT_XX version"
816,HH,umolCO2 m-2 s-1,average from 40 half-hourly RECO_NT_CUT_XX
817,DD,gC m-2 d-1,average from 40 daily RECO_NT_CUT_XX
818,WW,gC m-2 d-1,average from 40 weekly RECO_NT_CUT_XX
819,MM,gC m-2 d-1,average from 40 monthly RECO_NT_CUT_XX
820,YY,gC m-2 y-1,average from 40 yearly RECO_NT_CUT_XX
821,RECO_NT_CUT_SE,,"Standard Error for Ecosystem Respiration, calculated as (SD(RECO_NT_CUT_XX) / SQRT(40))"
822,HH,umolCO2 m-2 s-1,SE from 40 half-hourly RECO_NT_CUT_XX
823,DD,gC m-2 d-1,SE from 40 daily RECO_NT_CUT_XX
824,WW,gC m-2 d-1,SE from 40 weekly RECO_NT_CUT_XX
825,MM,gC m-2 d-1,SE from 40 monthly RECO_NT_CUT_XX
826,YY,gC m-2 y-1,SE from 40 yearly RECO_NT_CUT_XX
827,RECO_NT_CUT_XX,,"Ecosystem Respiration, from Nighttime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
828,HH,umolCO2 m-2 s-1,
829,DD,gC m-2 d-1,calculated from half-hourly data
830,WW-MM,gC m-2 d-1,average from daily data
831,YY,gC m-2 y-1,sum from daily data
832,GPP_NT_VUT_REF,,"Gross Primary Production, from Nighttime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
833,HH,umolCO2 m-2 s-1,
834,DD,gC m-2 d-1,calculated from half-hourly data
835,WW-MM,gC m-2 d-1,average from daily data
836,YY,gC m-2 y-1,sum from daily data
837,GPP_NT_VUT_USTAR50,,"Gross Primary Production, from Nighttime partitioning method, based on NEE_VUT_USTAR50"
838,HH,umolCO2 m-2 s-1,
839,DD,gC m-2 d-1,calculated from half-hourly data
840,WW-MM,gC m-2 d-1,average from daily data
841,YY,gC m-2 y-1,sum from daily data
842,GPP_NT_VUT_MEAN,,"Gross Primary Production, from Nighttime partitioning method, average from GPP versions, each from corresponding NEE_VUT_XX version"
843,HH,umolCO2 m-2 s-1,average from 40 half-hourly GPP_NT_VUT_XX
844,DD,gC m-2 d-1,average from 40 daily GPP_NT_VUT_XX
845,WW,gC m-2 d-1,average from 40 weekly GPP_NT_VUT_XX
846,MM,gC m-2 d-1,average from 40 monthly GPP_NT_VUT_XX
847,YY,gC m-2 y-1,average from 40 yearly GPP_NT_VUT_XX
848,GPP_NT_VUT_SE,,"Standard Error for Gross Primary Production, calculated as (SD(GPP_NT_VUT_XX) / SQRT(40))"
849,HH,umolCO2 m-2 s-1,SE from 40 half-hourly GPP_NT_VUT_XX
850,DD,gC m-2 d-1,SE from 40 daily GPP_NT_VUT_XX
851,WW,gC m-2 d-1,SE from 40 weekly GPP_NT_VUT_XX
852,MM,gC m-2 d-1,SE from 40 monthly GPP_NT_VUT_XX
853,YY,gC m-2 y-1,SE from 40 yearly GPP_NT_VUT_XX
854,GPP_NT_VUT_XX,,"Gross Primary Production, from Nighttime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
855,HH,umolCO2 m-2 s-1,
856,DD,gC m-2 d-1,calculated from half-hourly data
857,WW-MM,gC m-2 d-1,average from daily data
858,YY,gC m-2 y-1,sum from daily data
859,GPP_NT_CUT_REF,,"Gross Primary Production, from Nighttime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
860,HH,umolCO2 m-2 s-1,
861,DD,gC m-2 d-1,calculated from half-hourly data
862,WW-MM,gC m-2 d-1,average from daily data
863,YY,gC m-2 y-1,sum from daily data
864,GPP_NT_CUT_USTAR50,,"Gross Primary Production, from Nighttime partitioning method, based on NEE_CUT_USTAR50"
865,HH,umolCO2 m-2 s-1,
866,DD,gC m-2 d-1,calculated from half-hourly data
867,WW-MM,gC m-2 d-1,average from daily data
868,YY,gC m-2 y-1,sum from daily data
869,GPP_NT_CUT_MEAN,,"Gross Primary Production, from Nighttime partitioning method, average from GPP versions, each from corresponding NEE_CUT_XX version"
870,HH,umolCO2 m-2 s-1,average from 40 half-hourly GPP_NT_CUT_XX
871,DD,gC m-2 d-1,average from 40 daily GPP_NT_CUT_XX
872,WW,gC m-2 d-1,average from 40 weekly GPP_NT_CUT_XX
873,MM,gC m-2 d-1,average from 40 monthly GPP_NT_CUT_XX
874,YY,gC m-2 y-1,average from 40 yearly GPP_NT_CUT_XX
875,GPP_NT_CUT_SE,,"Standard Error for Gross Primary Production, calculated as (SD(GPP_NT_CUT_XX) / SQRT(40))"
876,HH,umolCO2 m-2 s-1,SE from 40 half-hourly GPP_NT_CUT_XX
877,DD,gC m-2 d-1,SE from 40 daily GPP_NT_CUT_XX
878,WW,gC m-2 d-1,SE from 40 weekly GPP_NT_CUT_XX
879,MM,gC m-2 d-1,SE from 40 monthly GPP_NT_CUT_XX
880,YY,gC m-2 y-1,SE from 40 yearly GPP_NT_CUT_XX
881,GPP_NT_CUT_XX,,"Gross Primary Production, from Nighttime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
882,HH,umolCO2 m-2 s-1,
883,DD,gC m-2 d-1,calculated from half-hourly data
884,WW-MM,gC m-2 d-1,average from daily data
885,YY,gC m-2 y-1,sum from daily data
886,,,
887,DAYTIME,,
888,RECO_DT_VUT_REF,,"Ecosystem Respiration, from Daytime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
889,HH,umolCO2 m-2 s-1,
890,DD,gC m-2 d-1,calculated from half-hourly data
891,WW-MM,gC m-2 d-1,average from daily data
892,YY,gC m-2 y-1,sum from daily data
893,RECO_DT_VUT_USTAR50,,"Ecosystem Respiration, from Daytime partitioning method, based on NEE_VUT_USTAR50"
894,HH,umolCO2 m-2 s-1,
895,DD,gC m-2 d-1,calculated from half-hourly data
896,WW-MM,gC m-2 d-1,average from daily data
897,YY,gC m-2 y-1,sum from daily data
898,RECO_DT_VUT_MEAN,,"Ecosystem Respiration, from Daytime partitioning method, average from RECO versions, each from corresponding NEE_VUT_XX version"
899,HH,umolCO2 m-2 s-1,average from 40 half-hourly RECO_DT_VUT_XX
900,DD,gC m-2 d-1,average from 40 daily RECO_DT_VUT_XX
901,WW,gC m-2 d-1,average from 40 weekly RECO_DT_VUT_XX
902,MM,gC m-2 d-1,average from 40 monthly RECO_DT_VUT_XX
903,YY,gC m-2 y-1,average from 40 yearly RECO_DT_VUT_XX
904,RECO_DT_VUT_SE,,"Standard Error for Ecosystem Respiration, calculated as (SD(RECO_DT_VUT_XX) / SQRT(40))"
905,HH,umolCO2 m-2 s-1,SE from 40 half-hourly RECO_DT_CUT_XX
906,DD,gC m-2 d-1,SE from 40 daily RECO_DT_VUT_XX
907,WW,gC m-2 d-1,SE from 40 weekly RECO_DT_VUT_XX
908,MM,gC m-2 d-1,SE from 40 monthly RECO_DT_VUT_XX
909,YY,gC m-2 y-1,SE from 40 yearly RECO_DT_VUT_XX
910,RECO_DT_VUT_XX,,"Ecosystem Respiration, from Daytime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
911,HH,umolCO2 m-2 s-1,
912,DD,gC m-2 d-1,calculated from half-hourly data
913,WW-MM,gC m-2 d-1,average from daily data
914,YY,gC m-2 y-1,sum from daily data
915,RECO_DT_CUT_REF,,"Ecosystem Respiration, from Daytime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
916,HH,umolCO2 m-2 s-1,
917,DD,gC m-2 d-1,calculated from half-hourly data
918,WW-MM,gC m-2 d-1,average from daily data
919,YY,gC m-2 y-1,sum from daily data
920,RECO_DT_CUT_USTAR50,,"Ecosystem Respiration, from Daytime partitioning method, based on NEE_CUT_USTAR50"
921,HH,umolCO2 m-2 s-1,
922,DD,gC m-2 d-1,calculated from half-hourly data
923,WW-MM,gC m-2 d-1,average from daily data
924,YY,gC m-2 y-1,sum from daily data
925,RECO_DT_CUT_MEAN,,"Ecosystem Respiration, from Daytime partitioning method, average from RECO versions, each from corresponding NEE_CUT_XX version"
926,HH,umolCO2 m-2 s-1,average from 40 half-hourly RECO_DT_CUT_XX
927,DD,gC m-2 d-1,average from 40 daily RECO_DT_CUT_XX
928,WW,gC m-2 d-1,average from 40 weekly RECO_DT_CUT_XX
929,MM,gC m-2 d-1,average from 40 monthly RECO_DT_CUT_XX
930,YY,gC m-2 y-1,average from 40 yearly RECO_DT_CUT_XX
931,RECO_DT_CUT_SE,,"Standard Error for Ecosystem Respiration, calculated as (SD(RECO_DT_CUT_XX) / SQRT(40))"
932,HH,umolCO2 m-2 s-1,SE from 40 half-hourly RECO_DT_CUT_XX
933,DD,gC m-2 d-1,SE from 40 daily RECO_DT_CUT_XX
934,WW,gC m-2 d-1,SE from 40 weekly RECO_DT_CUT_XX
935,MM,gC m-2 d-1,SE from 40 monthly RECO_DT_CUT_XX
936,YY,gC m-2 y-1,SE from 40 yearly RECO_DT_CUT_XX
937,RECO_DT_CUT_XX,,"Ecosystem Respiration, from Daytime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
938,HH,umolCO2 m-2 s-1,
939,DD,gC m-2 d-1,calculated from half-hourly data
940,WW-MM,gC m-2 d-1,average from daily data
941,YY,gC m-2 y-1,sum from daily data
942,GPP_DT_VUT_REF,,"Gross Primary Production, from Daytime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
943,HH,umolCO2 m-2 s-1,
944,DD,gC m-2 d-1,calculated from half-hourly data
945,WW-MM,gC m-2 d-1,average from daily data
946,YY,gC m-2 y-1,sum from daily data
947,GPP_DT_VUT_USTAR50,,"Gross Primary Production, from Daytime partitioning method, based on NEE_VUT_USTAR50"
948,HH,umolCO2 m-2 s-1,
949,DD,gC m-2 d-1,calculated from half-hourly data
950,WW-MM,gC m-2 d-1,average from daily data
951,YY,gC m-2 y-1,sum from daily data
952,GPP_DT_VUT_MEAN,,"Gross Primary Production, from Daytime partitioning method, average from GPP versions, each from corresponding NEE_VUT_XX version"
953,HH,umolCO2 m-2 s-1,average from 40 half-hourly GPP_DT_VUT_XX
954,DD,gC m-2 d-1,average from 40 daily GPP_DT_VUT_XX
955,WW,gC m-2 d-1,average from 40 weekly GPP_DT_VUT_XX
956,MM,gC m-2 d-1,average from 40 monthly GPP_DT_VUT_XX
957,YY,gC m-2 y-1,average from 40 yearly GPP_DT_VUT_XX
958,GPP_DT_VUT_SE,,"Standard Error for Gross Primary Production, calculated as (SD(GPP_DT_VUT_XX) / SQRT(40))"
959,HH,umolCO2 m-2 s-1,SE from 40 half-hourly GPP_DT_VUT_XX
960,DD,gC m-2 d-1,SE from 40 daily GPP_DT_VUT_XX
961,WW,gC m-2 d-1,SE from 40 weekly GPP_DT_VUT_XX
962,MM,gC m-2 d-1,SE from 40 monthly GPP_DT_VUT_XX
963,YY,gC m-2 y-1,SE from 40 yearly GPP_DT_VUT_XX
964,GPP_DT_VUT_XX,,"Gross Primary Production, from Daytime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
965,HH,umolCO2 m-2 s-1,
966,DD,gC m-2 d-1,calculated from half-hourly data
967,WW-MM,gC m-2 d-1,average from daily data
968,YY,gC m-2 y-1,sum from daily data
969,GPP_DT_CUT_REF,,"Gross Primary Production, from Daytime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
970,HH,umolCO2 m-2 s-1,
971,DD,gC m-2 d-1,calculated from half-hourly data
972,WW-MM,gC m-2 d-1,average from daily data
973,YY,gC m-2 y-1,sum from daily data
974,GPP_DT_CUT_USTAR50,,"Gross Primary Production, from Daytime partitioning method, based on NEE_CUT_USTAR50"
975,HH,umolCO2 m-2 s-1,
976,DD,gC m-2 d-1,calculated from half-hourly data
977,WW-MM,gC m-2 d-1,average from daily data
978,YY,gC m-2 y-1,sum from daily data
979,GPP_DT_CUT_MEAN,,"Gross Primary Production, from Daytime partitioning method, average from GPP versions, each from corresponding NEE_CUT_XX version"
980,HH,umolCO2 m-2 s-1,average from 40 half-hourly GPP_DT_CUT_XX
981,DD,gC m-2 d-1,average from 40 daily GPP_DT_CUT_XX
982,WW,gC m-2 d-1,average from 40 weekly GPP_DT_CUT_XX
983,MM,gC m-2 d-1,average from 40 monthly GPP_DT_CUT_XX
984,YY,gC m-2 y-1,average from 40 yearly GPP_DT_CUT_XX
985,GPP_DT_CUT_SE,,"Standard Error for Gross Primary Production, calculated as (SD(GPP_DT_CUT_XX) / SQRT(40))"
986,HH,umolCO2 m-2 s-1,SE from 40 half-hourly GPP_DT_CUT_XX
987,DD,gC m-2 d-1,SE from 40 daily GPP_DT_CUT_XX
988,WW,gC m-2 d-1,SE from 40 weekly GPP_DT_CUT_XX
989,MM,gC m-2 d-1,SE from 40 monthly GPP_DT_CUT_XX
990,YY,gC m-2 y-1,SE from 40 yearly GPP_DT_CUT_XX
991,GPP_DT_CUT_XX,,"Gross Primary Production, from Daytime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
992,HH,umolCO2 m-2 s-1,
993,DD,gC m-2 d-1,calculated from half-hourly data
994,WW-MM,gC m-2 d-1,average from daily data
995,YY,gC m-2 y-1,sum from daily data
996,,,
997,SUNDOWN,,
998,RECO_SR,,"Ecosystem Respiration, from Sundown Respiration partitioning method"
999,HH,umolCO2 m-2 s-1,
1000,DD,gC m-2 d-1,calculated from half-hourly data
1001,WW-MM,gC m-2 d-1,average from daily data
1002,YY,gC m-2 y-1,sum from daily data
1003,RECO_SR_N,,"Fraction between 0-1, indicating the percentage of data avaiable in the averaging period to parametrize the respiration model"
1004,HH,,not produced
1005,DD-YY,nondimensional,percentage of data available
